,customer_id,purchase_date,product_category,amount,transaction_id
0,230,2025-05-11,Clothing,181.73,1034
1,630,2025-06-19,Electronics,442.32,1020
2,867,2025-02-16,Home & Kitchen,263.12,1049
3,763,2025-02-13,Home & Kitchen,434.05,1058
4,758,2025-04-15,Clothing,489.6,1077
5,332,,Home & Kitchen,75.58,1018
6,553,2025-08-27,Clothing,403.2,1048
7,999,2025-04-14,Sports,305.51,1053
8,731,2025-06-15,Toys,325.0,1057
9,349,2025-08-22,Home & Kitchen,169.43,1100
10,667,2025-04-03,Sports,387.6,1095
11,677,2025-05-13,Electronics,466.8,1021
12,279,2025-06-30,Home & Kitchen,127.18,1016
13,347,2025-05-05,Sports,149.65,1019
14,899,2025-04-17,Clothing,233.55,1092
15,457,2025-02-14,Toys,6.89,1025
16,60,2025-02-08,Clothing,144.35,1006
17,926,2025-08-25,Home & Kitchen,190.4,1072
18,797,2025-03-21,Toys,273.8,1010
19,424,2025-01-11,Electronics,377.95,1041
20,633,2025-02-21,Electronics,404.5,1032
21,586,2025-09-15,Sports,249.44,1002
22,837,2025-05-08,Sports,458.73,1101
23,343,2025-01-15,Toys,104.23,1067
24,147,2025-08-11,Home & Kitchen,470.69,1082
25,83,2025-01-11,Home & Kitchen,160.41,1037
26,143,2025-06-23,Sports,459.16,1015
27,333,2025-08-14,Clothing,338.12,1031
28,395,2025-07-04,Home & Kitchen,153.2,1004
29,785,2025-03-30,Sports,214.2,1024
30,873,2025-04-06,Sports,14.46,1102
31,489,2025-07-04,Sports,40.22,1084
32,204,2025-07-18,Clothing,404.54,1008
33,216,2025-05-21,Sports,70.09,1040
34,896,2025-05-26,Electronics,340.03,1060
35,980,2025-05-11,Home & Kitchen,221.31,1099
36,693,2025-05-16,Electronics,497.74,1103
37,210,2025-01-15,Clothing,22.16,1068
38,751,2025-04-03,Electronics,284.22,1104
39,73,2025-07-30,Clothing,236.81905660377362,1105
40,528,2025-03-30,Electronics,59.81,1098
41,918,2025-03-31,Toys,169.02,1081
42,142,2025-02-09,Toys,345.76,1106
43,269,,Sports,393.67,1107
44,334,2025-08-25,Toys,24.3,1066
45,934,2025-01-22,Clothing,211.17,1108
46,828,2025-07-20,Clothing,87.6,1026
47,695,2025-01-09,Electronics,227.43,1071
48,663,2025-06-06,Electronics,428.57,1061
49,208,2025-07-23,Electronics,24.27,1012
50,94,2025-01-24,Electronics,136.46,1030
51,76,2025-01-09,Electronics,153.4,1109
52,865,2025-01-02,Toys,243.04,1028
53,1,2025-02-03,,226.92,1110
54,179,2025-04-09,Sports,103.61,1056
55,285,2025-08-10,Clothing,261.39,1047
56,361,2025-02-28,Electronics,36.03,1038
57,342,2025-08-21,Sports,291.26,1111
58,611,2025-06-28,Electronics,391.28,1112
59,283,2025-01-27,Electronics,278.92284722222223,1113
60,307,2025-03-05,Sports,379.33,1114
61,944,2025-03-13,Clothing,231.71,1115
62,239,2025-08-03,Electronics,278.92284722222223,1116
63,411,2025-01-21,Sports,358.59,1080
64,732,2025-09-03,Clothing,236.81905660377362,1090
65,685,2025-04-02,Sports,171.99,1117
66,227,2025-06-13,Toys,475.71,1011
67,590,2025-05-14,Home & Kitchen,261.14,1083
68,389,2025-03-13,Sports,43.44,1118
69,838,2025-06-06,Home & Kitchen,301.19,1096
70,765,2025-04-11,Toys,475.51,1089
71,710,2025-04-27,Electronics,460.89,1045
72,195,2025-03-28,Clothing,217.21,1055
73,12,2025-07-23,Sports,238.78,1017
74,744,2025-03-28,Home & Kitchen,255.62829268292683,1119
75,57,2025-03-30,Electronics,240.84,1120
76,500,2025-05-23,Electronics,278.92284722222223,1043
77,140,2025-01-23,,455.83,1094
78,181,2025-07-02,Toys,475.96,1044
79,101,2025-08-14,,200.59,1078
80,707,2025-09-04,Toys,315.16,1051
81,936,2025-07-17,Clothing,269.03,1085
82,156,,Electronics,278.92284722222223,1121
83,224,,Home & Kitchen,255.62829268292683,1122
84,619,2025-06-19,Home & Kitchen,254.03,1023
85,591,2025-08-31,Clothing,51.46,1093
86,40,2025-02-07,Sports,288.03,1123
87,807,2025-05-12,Sports,404.31,1054
88,862,2025-01-08,Sports,263.04,1124
89,275,2025-06-07,Electronics,498.92,1125
90,20,2025-01-09,Electronics,35.79,1126
91,29,2025-02-21,Clothing,308.73,1079
92,654,2025-09-06,Toys,446.48,1127
93,191,2025-08-26,Toys,427.62,1128
94,182,2025-05-22,Sports,9.39,1129
95,568,2025-01-07,Clothing,432.46,1000
96,463,2025-05-11,Home & Kitchen,255.62829268292683,1130
97,713,2025-05-30,Toys,490.67,1131
98,229,2025-01-14,Home & Kitchen,258.08,1132
99,799,2025-08-15,Clothing,223.02,1088
100,158,2025-07-26,Toys,99.1,1133
101,843,2025-06-03,Toys,259.36,1064
102,679,2025-04-11,Sports,250.56731428571428,1003
103,24,2025-03-27,Toys,451.93,1134
104,786,2025-01-12,Clothing,187.79,1075
105,178,2025-03-25,Clothing,260.35,1135
106,869,2025-05-28,Toys,417.66,1005
107,826,2025-06-15,Clothing,154.94,1063
108,89,2025-04-20,Clothing,302.32,1136
109,810,2025-03-14,Toys,77.92,1001
110,653,2025-09-11,Electronics,440.09,1137
111,893,2025-07-17,Toys,58.47,1097
112,589,2025-04-30,Clothing,164.14,1033
113,385,2025-08-27,Sports,171.13,1138
114,425,2025-07-06,Electronics,417.9,1139
115,247,2025-05-22,Clothing,155.58,1140
116,845,2025-07-25,Home & Kitchen,177.31,1141
117,391,2025-03-15,Home & Kitchen,392.0,1142
118,319,2025-07-29,Toys,446.8,1086
119,812,2025-08-24,Clothing,395.28,1143
120,315,2025-02-20,Home & Kitchen,340.94,1009
121,529,2025-03-16,Toys,243.61,1144
122,502,2025-08-04,Sports,117.74,1145
123,427,2025-01-04,Sports,358.04,1091
124,908,2025-01-29,Home & Kitchen,81.46,1042
125,198,2025-08-06,,23.6,1146
126,486,2025-01-04,Electronics,59.09,1147
127,488,2025-07-24,Toys,392.68,1148
128,535,2025-01-25,Sports,113.44,1149
129,69,2025-01-15,Toys,150.19,1150
130,451,2025-06-02,Clothing,384.23,1151
131,948,2025-06-28,Home & Kitchen,429.88,1152
132,878,2025-04-27,Sports,334.97,1153
133,791,2025-08-11,Sports,8.88,1154
134,583,2025-01-23,Home & Kitchen,455.42,1155
135,335,2025-03-27,Toys,234.02,1156
136,67,2025-08-06,Home & Kitchen,220.13,1157
137,854,2025-03-27,Sports,438.56,1158
138,886,2025-02-15,Electronics,357.96,1159
139,180,2025-01-27,Sports,261.92,1160
140,220,2025-03-18,Clothing,409.31,1161
141,268,2025-03-06,Electronics,356.11,1162
142,909,2025-08-19,Electronics,27.23,1163
143,875,2025-03-23,Sports,199.63,1164
144,78,2025-06-30,Toys,450.54,1165
145,617,2025-08-09,Toys,480.51,1166
146,74,2025-01-05,Electronics,278.92284722222223,1022
147,351,2025-02-03,Home & Kitchen,304.86,1167
148,514,2025-04-04,Electronics,469.46,1168
149,718,2025-01-12,Clothing,286.84,1169
150,352,2025-05-29,Clothing,40.11,1065
151,317,2025-09-08,Sports,257.66,1062
152,404,2025-04-17,Home & Kitchen,255.45,1014
153,719,2025-09-07,Clothing,322.1,1007
154,969,2025-03-25,Home & Kitchen,460.17,1170
155,741,2025-06-17,Toys,156.13,1013
156,995,2025-03-17,Electronics,229.73,1171
157,368,2025-08-25,Toys,162.21,1076
158,723,2025-08-15,Home & Kitchen,35.92,1172
159,496,2025-07-28,Clothing,188.73,1027
160,66,2025-01-09,Sports,354.27,1173
